frame,X,Y,Z
292,-0.235764,-0.0474178,1.02907
293,-0.236817,-0.046929,1.03477
294,-0.236178,-0.0474473,1.03253
295,-0.237855,-0.0469033,1.03566
296,-0.238617,-0.046609,1.0369
297,-0.237745,-0.0472752,1.03235
298,-0.237167,-0.0476234,1.02979
299,-0.237924,-0.0469714,1.03334
300,-0.236255,-0.0456037,1.03524
301,-0.23743,-0.0459771,1.03605
302,-0.238067,-0.0462601,1.03624
303,-0.237332,-0.0464469,1.03612
304,-0.237931,-0.0465548,1.03591
305,-0.236124,-0.0463937,1.03094
306,-0.23522,-0.0473177,1.0285
307,-0.236983,-0.0469715,1.03237
308,-0.236869,-0.0475412,1.02985
309,-0.236791,-0.0477942,1.02867
310,-0.236745,-0.0478615,1.02829
311,-0.236721,-0.0478366,1.02832
312,-0.234631,-0.0455568,1.02383
313,-0.234707,-0.0456461,1.02651
314,-0.234889,-0.0458213,1.0282
315,-0.235079,-0.0459968,1.02913
316,-0.235233,-0.0461363,1.02954
317,-0.23534,-0.0462321,1.02965
318,-0.235405,-0.0462896,1.02962
319,-0.234367,-0.0451061,1.02483
320,-0.234941,-0.0457505,1.02718
321,-0.234212,-0.0449252,1.02391
322,-0.233876,-0.0445447,1.02239
323,-0.232772,-0.0444299,1.02193
324,-0.231255,-0.044248,1.01737
325,-0.230655,-0.0442249,1.01544
326,-0.231618,-0.0444761,1.01965
327,-0.232265,-0.044642,1.02217
328,-0.233648,-0.0447377,1.02345
329,-0.235391,-0.0459974,1.02864
330,-0.236136,-0.0465942,1.03096
331,-0.237315,-0.0467888,1.03158
332,-0.238782,-0.0469872,1.0361
333,-0.240279,-0.046989,1.03785
334,-0.240732,-0.0469074,1.03806
335,-0.240652,-0.0468074,1.03758
336,-0.240364,-0.0467202,1.03691
337,-0.241156,-0.0478923,1.04109
338,-0.241423,-0.0484429,1.04293
339,-0.241414,-0.0486183,1.04339
340,-0.24129,-0.0485993,1.04318
341,-0.241142,-0.0485022,1.04273
342,-0.241016,-0.0483921,1.04227
343,-0.240924,-0.0472792,1.0419
344,-0.241989,-0.046943,1.04651
345,-0.241371,-0.0476436,1.04382
346,-0.240999,-0.0480464,1.04219
347,-0.240807,-0.0482408,1.04135
348,-0.24073,-0.0472874,1.04101
349,-0.240718,-0.0478182,1.04095
350,-0.241756,-0.0481135,1.04102
351,-0.24227,-0.0482488,1.04113
352,-0.242459,-0.0482888,1.04124
353,-0.2436,-0.047479,1.04618
354,-0.242946,-0.0478697,1.0437
355,-0.242503,-0.0480953,1.04219
356,-0.242239,-0.048205,1.04139
357,-0.242106,-0.0482432,1.04106
358,-0.242054,-0.0482433,1.041
359,-0.242048,-0.0482275,1.04106
360,-0.242166,-0.0474067,1.04601
361,-0.242235,-0.0470062,1.04843
362,-0.242167,-0.0476668,1.04443
363,-0.24213,-0.0480479,1.04212
364,-0.242115,-0.0482329,1.04101
365,-0.243241,-0.0474957,1.04548
366,-0.242654,-0.0479136,1.04295
367,-0.242299,-0.0481417,1.04156
368,-0.242115,-0.0482429,1.04095
369,-0.24204,-0.0482697,1.04079
370,-0.243156,-0.0484843,1.04571
371,-0.242583,-0.0483436,1.04332
372,-0.242352,-0.0474463,1.04678
373,-0.242132,-0.0478069,1.04355
374,-0.242039,-0.0480327,1.04175
375,-0.242019,-0.0481552,1.04093
376,-0.242033,-0.0482091,1.04068
377,-0.242059,-0.0482229,1.04073
378,-0.242085,-0.048217,1.04089
379,-0.242105,-0.0482039,1.04107
380,-0.242222,-0.0473892,1.04607
381,-0.241156,-0.0467763,1.04364
382,-0.239619,-0.0465357,1.04216
383,-0.237848,-0.0452717,1.03659
384,-0.236142,-0.0437291,1.03397
385,-0.23666,-0.0443579,1.03794
386,-0.23822,-0.0448705,1.04032
387,-0.239147,-0.0452288,1.04156
388,-0.239616,-0.0454485,1.04205
389,-0.239795,-0.0455645,1.04213
390,-0.238712,-0.0454029,1.03722
391,-0.239237,-0.0465424,1.03955
392,-0.239518,-0.0470891,1.04092
393,-0.238534,-0.0460436,1.0368
394,-0.240158,-0.0466785,1.03955
395,-0.23996,-0.0469844,1.0411
396,-0.239788,-0.0460688,1.04181
397,-0.238558,-0.0453684,1.03724
398,-0.237948,-0.0450577,1.03491
399,-0.23883,-0.0462052,1.0388
400,-0.239345,-0.0468245,1.04098
401,-0.2396,-0.0470939,1.04199
402,-0.239692,-0.0471603,1.0423
403,-0.239697,-0.0471274,1.04225
404,-0.239664,-0.0470595,1.04206
405,-0.238518,-0.0457606,1.03705
406,-0.239056,-0.0463468,1.03937
407,-0.238276,-0.0454704,1.03597
408,-0.2369,-0.0450644,1.0344
409,-0.237318,-0.0449403,1.03392
410,-0.237659,-0.0449607,1.034
411,-0.237897,-0.0450377,1.0343
412,-0.239146,-0.0463529,1.03943
413,-0.239752,-0.0470126,1.042
414,-0.239961,-0.0472604,1.04297
