Time(s),X(m),Y(m),Z(m),Distance(m)
5.56667,0.895906,-0.507613,2.95274,3.12714
5.6,0.928438,-0.467781,2.84942,3.03316
5.63333,0.984961,-0.425918,2.79522,2.99413
5.66667,1.04364,-0.394842,2.77827,2.99397
5.7,1.09516,-0.358587,2.71133,2.94606
5.73333,1.11589,-0.312429,2.59513,2.84209
5.76667,1.17676,-0.283595,2.56411,2.83546
5.8,1.21158,-0.255682,2.54492,2.83018
5.83333,1.2281,-0.218648,2.46207,2.76004
5.86667,1.22482,-0.18694,2.43477,2.7319
5.9,1.22418,-0.149777,2.39643,2.69516
5.93333,1.17955,-0.118345,2.33701,2.62049
5.96667,1.13498,-0.0807221,2.25912,2.52949
6,1.10594,-0.0526691,2.2651,2.52122
6.03333,1.04256,-0.0206183,2.19857,2.43332
6.06667,0.992921,0.00183425,2.18483,2.39987
6.1,0.927505,0.0289064,2.14924,2.34101
6.13333,0.873051,0.0614221,2.12507,2.29824
6.16667,0.806146,0.0941426,2.08196,2.23457
6.2,0.756637,0.121226,2.08921,2.22531
6.23333,0.679672,0.154855,2.03359,2.14975
6.26667,0.623072,0.177489,2.00323,2.10539
6.3,0.566652,0.2104,1.98246,2.07256
6.33333,0.503551,0.240976,1.92128,2.00074
6.36667,0.443266,0.272181,1.86638,1.93751
6.4,0.395157,0.304457,1.84488,1.91114
6.43333,0.349488,0.335222,1.79547,1.85963
6.46667,0.302932,0.359914,1.73453,1.79719
6.5,0.260327,0.401124,1.7172,1.78254
6.53333,0.210357,0.42208,1.63915,1.70564
6.56667,0.170108,0.459321,1.59018,1.66391
6.6,0.118521,0.485555,1.52931,1.60891
6.63333,0.0753364,0.525399,1.49134,1.58297
6.66667,0.0268913,0.547919,1.42624,1.5281
6.7,-0.0190598,0.570672,1.3454,1.46155
6.73333,-0.0621267,0.59899,1.28498,1.4191
6.76667,-0.0981171,0.618037,1.21382,1.36563
6.8,-0.145583,0.684136,1.239,1.4228
12.8,-0.470999,0.659238,1.30817,1.53875
12.8333,-0.440908,0.640816,1.33272,1.54311
12.8667,-0.415309,0.622395,1.3654,1.55698
12.9,-0.386014,0.596885,1.38568,1.55736
12.9333,-0.370112,0.588107,1.43733,1.59649
12.9667,-0.342306,0.569072,1.47309,1.61586
13,-0.323794,0.559737,1.52412,1.65562
13.0333,-0.297864,0.536746,1.55257,1.66952
13.0667,-0.2749,0.519548,1.57837,1.68427
13.1,-0.244977,0.501207,1.61151,1.70534
13.1333,-0.221866,0.483426,1.63964,1.72375
13.1667,-0.196197,0.465776,1.67847,1.75291
13.2,-0.172885,0.443977,1.70077,1.76625
13.2333,-0.148779,0.427086,1.73856,1.79643
13.2667,-0.122182,0.403718,1.75981,1.80965
13.3,-0.0983066,0.384241,1.776,1.81975
13.3333,-0.0756294,0.367714,1.82432,1.86255
13.3667,-0.0487199,0.347129,1.827,1.86032
13.4,-0.0276766,0.333489,1.87353,1.90318
13.4333,-0.00223618,0.317189,1.90936,1.93553
13.4667,0.0198583,0.299251,1.92408,1.94731
13.5,0.0476072,0.280334,1.95229,1.97289
13.5333,0.0688517,0.261568,1.9775,1.99591
13.5667,0.0925973,0.245057,2.00047,2.01755
13.6,0.116425,0.227788,2.02478,2.04088
13.6333,0.140509,0.20883,2.04965,2.06504
13.6667,0.164414,0.19328,2.0768,2.09225
13.7,0.186801,0.172835,2.09497,2.11037
13.7333,0.210549,0.159022,2.12553,2.14185
13.7667,0.227237,0.141052,2.10451,2.12144
13.8,0.253194,0.127067,2.15484,2.17339
13.8333,0.280255,0.107697,2.21134,2.23163
13.8667,0.300965,0.0923982,2.20807,2.2304
13.9,0.322666,0.0714411,2.23602,2.26031
13.9333,0.342225,0.0556265,2.22949,2.25629
13.9667,0.365584,0.0426545,2.28775,2.31717
14,0.387386,0.022997,2.29799,2.33052
14.0333,0.411199,0.010741,2.34129,2.37715
14.0667,0.43428,-0.00724592,2.35192,2.39169
14.1,0.45331,-0.0231141,2.38316,2.426
14.1333,0.478218,-0.0410985,2.41004,2.45737
14.1667,0.496028,-0.0547141,2.42622,2.47701
14.2,0.516138,-0.0697363,2.43274,2.48787
14.2333,0.529332,-0.0836415,2.42385,2.48238
14.2667,0.546812,-0.0974592,2.42349,2.48632
14.3,0.569155,-0.114933,2.46109,2.52866
14.3333,0.594836,-0.128952,2.48404,2.55752
14.3667,0.623846,-0.151146,2.56812,2.64713
14.4,0.63936,-0.161971,2.55744,2.64112
14.4333,0.654906,-0.179117,2.58122,2.66902
14.4667,0.6772,-0.191577,2.59023,2.68414
14.5,0.692062,-0.206403,2.60378,2.70208
14.5333,0.705255,-0.217213,2.59565,2.69851
14.5667,0.711424,-0.225405,2.56029,2.66684
14.6,0.740858,-0.244202,2.62805,2.74138
14.6333,0.760164,-0.258932,2.64405,2.76331
14.6667,0.768822,-0.269416,2.62845,2.7518
14.7,0.802348,-0.286651,2.69793,2.82927
14.7333,0.819313,-0.302473,2.71527,2.85228
14.7667,0.834241,-0.312971,2.71262,2.85521
14.8,0.851306,-0.328723,2.7244,2.87318
14.8333,0.871132,-0.338463,2.74114,2.89608
14.8667,0.872981,-0.351016,2.73519,2.8925
14.9,0.910422,-0.370013,2.79522,2.96294
14.9333,0.90845,-0.378136,2.76685,2.93662
14.9667,0.928324,-0.385647,2.77112,2.94781
15,0.94783,-0.402629,2.80536,2.9884
15.0333,0.966958,-0.416427,2.82323,3.01315
15.0667,0.972937,-0.41681,2.80631,2.99929
15.1,0.983023,-0.437048,2.81103,3.00985
15.1333,1.02808,-0.459824,2.91046,3.12076
15.1667,1.02007,-0.461307,2.86545,3.07638
15.2,1.02342,-0.467781,2.84942,3.06356
15.2333,1.07649,-0.495136,2.95603,3.18467
15.2667,1.08634,-0.504989,2.95603,3.18956
15.3,1.10382,-0.514561,2.97293,3.21271
15.3333,1.09126,-0.516207,2.91995,3.15965
15.3667,1.1024,-0.523971,2.92103,3.16579
